character,translation
的,of
我,I
你,you
了,Ending Particle
是,Yes
在,exist
他,he
我们,Us
不,Do not
吗,Question Particle
好,good
什么,what
有,Have
就,At once
吧,Bar
她,she
这,this
知道,knowledge
说,Say
都,All
去,go
很,very
啊,what
要,want
也,and also
他们,them
和,with
那,That
想,think
人,people
会,Can
一个,one
来,Come
把,Bundle
对,right
没有,No
做,Do
不是,no
让,let
给,Give
可以,Can
你们,you
呢,Woolen cloth
但,but
到,arrive
还,return
现在,now
这个,this
能,can
怎么,how
就是,that is
跟,and
如果,if
没,No
它,it
走,go
上,superior
得,have to
被,quilt
这里,here
这样,so
个,indivual
看,Look
事,thing
自己,Own
着,Aspect Particle
谁,Who
过,pass
不会,will not
告诉,Tell
为什么,why
不能,can not
真的,real
先生,gentlemen
只是,only
不要,do not want
这是,This is
已经,already
再,Again
哦,Oh
需要,need
因为,Because
谢谢,thanks
像,picture
这么,so
可能,possible
但是,but
那个,that
所以,so
喜欢,like
又,again
叫,Call
快,quick
我要,I need to
觉得,feel
别,do not
听,hear
找,Find
里,inside
还有,and also
时候,when
东西,thing
等,Wait
死,die
多,many
从,From
我会,I will
一起,Together
应该,should
我們,US
这些,These
请,Please
孩子,child
看到,See
一下,one time
那么,So
为,for
嗎,Question Particle
而,and
您,you
才,talent
用,use
还是,still
嗯,Um
问题,problem
工作,Work
一样,Same
呀,Ah
开始,Start
吃,eat
嘿,Hey
当,when
真,real
中,middle
然后,Then
看看,have a look
說,Say
地方,place
一定,must
将,will
希望,hope
朋友,friend
今天,Nowadays
拿,take
一,one
啦,La
事情,matter
一直,Always
所有,all
找到,turn up
什麼,what
哪,where
当然,certainly
们,Plural Particle
回来,return
不想,In no mood
更,Even
最,most
帮,help
没事,fine
只,only
那些,Those ones
可,Can
明白,clear
的话,if
爸爸,dad
下,Down
太,too
离开,Leave
一切,everything
时间,time
相信,Believe
妈妈,mother
想要,want to
爱,Love
发生,happen
打,beat
点,point
來,Come
钱,money
大,Big
起来,stand up
真是,Really
你好,Hello
抱歉,Feel sorry
必须,must
认为,think
一点,a little
非常,Very
那里,There
对不起,sorry
天,sky
也许,maybe
大家,Everyone
哪里,where
有人,Someone
该,Should
意思,mean
杀,kill
准备,Prepare
并,and
出来,come out
与,and
时,Time
不过,but
一些,Some
为了,for
带,belt
女人,woman
这儿,here
后,Rear
只有,only
过来,come over
比,Compare
一次,once
得到,get
很多,a lot of
任何,any
这种,This kind
小,small
怎么样,How about it
對,right
感觉,feel
年,year
是不是,is not it
以为,Think
而且,and
前,forward
生活,Life
男人,man
之前,Before
喂,Hey
问,Ask
发现,discover
噢,Oh
可是,But
快点,hurry up
嗨,Hi
妈,mom
两个,two
不用,Need not
地,land
向,Towards
名字,name
没错,Yes
见,See
世界,world
沒,No
记得,remember
住,live
新,new
不错,good
肯定,affim
最好,most
不行,no
等等,and many more
嘛,Well
出去,go out
么,Adverb Particle
先,First
為,for
亲爱,dear
或,or
他們,them
担心,Worry
如何,how
到底,in the end
有点,A little
最后,finally
小姐,Miss
上帝,God
认识,know
會,Can
正在,Is
那样,That kind
父亲,Father
高兴,Happy
明天,tomorrow
重要,important
跑,run
警察,police
只要,if only
干什么,What
好像,like
再见,goodbye
月,moon
我能,I can
继续,continue
出,out
今晚,tonight
他妈的,damn it
回家,go home
它们,they
多少,How many
电话,telephone
听到,Hear
干嘛,what
干,Dry
医生,Doctor
要是,if
女孩,girl
這,this
所,Place
讓,let
马上,immediately
过去,past
以前,before
儿子,son
哪儿,where
说话,say
买,purchase
看起来,Looks
一個,one
完全,completely
该死,Damn
美国,America
怎样,how
回去,go back
以,by
却,but
其他,other
永远,forever
家伙,Guy
之后,Later
怎麼,how
看见,see
或者,or
小心,careful
行,Row
别人,other people
成为,become
写,Write
不到,Less than
情况,Condition
送,deliver
伙计,Man
一天,one day
玩,Play
见到,To see
放,put
晚上,night
喝,drink
总是,always
好好,well
琌,Ling
号,No
如此,in this way
家,Family
坐,sit
了解,learn
有没有,Do you have
兄弟,brother
没什么,nothing
我来,I come
结束,Finish
机会,Chance
已,already
安全,Safety
拜托,Please
决定,Decide
穿,Put on
确定,Sure
里面,in
呃,Uh
怎么办,How to do
还好,fine
无法,Unable
小时,Hour
站,stand
清楚,clear
有些,some
错,mistaken
這個,this
帮助,help
长官,Chief
公司,company
打电话,Call up
房子,House
根本,fundamental
懂,Understand
办法,Method
不管,Regardless of
混蛋,asshole
关于,about
搞,Do
计划,plan
唯一,only
来说,Speaking
女儿,daughter
看着,Watching
宝贝,baby
每个,Each
怎么回事,what happened
個,indivual
其实,actually
漂亮,Pretty
黑体,Blackbody
這樣,so
车,vehicle
人们,people
真正,real
甚至,even
那边,there
弄,alley
开,open
不好,not good
喔,Oh
回,Return
进来,Come in
裏,inside
夫人,lady
之,Of
愿意,willing
麻烦,trouble
睡,sleep
哇,Wow
就要,Will
打算,Intend
完,over
故事,story
一种,A sort of
害怕,Fear
救,save
手,hand
房间,Room
由,Depend on
後,Rear
那儿,there
衣服,clothing
枪,gun
母亲,Mother
另,Other
下来,Down